Date,Open,High,Low,Close,Adj Close,Volume
Aug-01,134.960007,138.830002,133.509995,135.389999,135.389999,76846900
Aug-02,134.720001,137.440002,134.089996,134.160004,134.160004,61922400
Aug-03,136.210007,140.490005,136.050003,139.520004,139.520004,71827800
Aug-04,140.580002,143.559998,139.550003,142.570007,142.570007,70585000
Aug-05,140.100006,142.860001,139.600006,140.800003,140.800003,50686900
Aug-08,142.050003,144.229996,138.289993,139.410004,139.410004,52229000
Aug-09,138.050003,138.949997,136.210007,137.830002,137.830002,40434700
Aug-10,142.899994,144.600006,141.009995,142.690002,142.690002,54773800
Aug-11,143.860001,144.490005,139.759995,140.639999,140.639999,44867300
Aug-12,142.050003,143.570007,140.119995,143.550003,143.550003,47643500
Aug-15,142.800003,143.759995,141.490005,143.179993,143.179993,39014600
Aug-16,143.910004,146.570007,142,144.779999,144.779999,59102900
Aug-17,142.690002,143.380005,140.779999,142.100006,142.100006,48149800
Aug-18,141.320007,142.770004,140.380005,142.300003,142.300003,37458700
Aug-19,140.470001,141.110001,137.910004,138.229996,138.229996,47792800
Aug-22,135.720001,136.320007,132.850006,133.220001,133.220001,50461500
Aug-23,133.410004,134.990005,132.949997,133.619995,133.619995,36252100
Aug-24,132.75,135.470001,132.100006,133.800003,133.800003,38627000
Aug-25,135.259995,137.419998,134.279999,137.279999,137.279999,37496300
Aug-26,136.550003,137.830002,130.5,130.75,130.75,53322700
Aug-29,129.899994,131.949997,128.770004,129.789993,129.789993,48101600
Aug-30,131.25,132.070007,126.849998,128.729996,128.729996,49203000
Aug-31,129.449997,130.589996,126.739998,126.769997,126.769997,53648700
